feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,montiferru_2021__manavgat_2021,True,False,False,False,False,0.0,0.5862731853113042,0.5640055957519895
elevation_mean,montiferru_2021__manavgat_2021,True,True,True,True,True,3.0,0.5837706290859124,0.232040982011245
slope_mean,montiferru_2021__manavgat_2021,True,True,True,True,True,3.0,0.6519721105399766,0.4001814073550815
lst_anomaly_mean,montiferru_2021__manavgat_2021,True,False,True,True,True,2.0,0.395190132275989,0.5087692084924866
current_lst_mean,montiferru_2021__manavgat_2021,True,True,True,True,True,3.0,0.3704643770906685,0.6646991429203886
current_tvdi_mean,montiferru_2021__manavgat_2021,True,True,True,True,True,3.0,0.3555286181577596,0.6770834881362302
tvdi_difference_mean,montiferru_2021__manavgat_2021,True,False,False,False,False,0.0,0.3776218081882492,0.4603939869501002
downscaled_lst_mean,montiferru_2021__manavgat_2021,True,True,True,True,True,3.0,0.364736376795746,0.6831504494668662
fused_lst_mean,montiferru_2021__manavgat_2021,True,True,True,True,True,3.0,0.3704727050647962,0.6662317904467838
ndvi_mean,manavgat_2021__montiferru_2021,False,,,,,,,
elevation_mean,manavgat_2021__montiferru_2021,False,,,,,,,
slope_mean,manavgat_2021__montiferru_2021,False,,,,,,,
lst_anomaly_mean,manavgat_2021__montiferru_2021,False,,,,,,,
current_lst_mean,manavgat_2021__montiferru_2021,False,,,,,,,
current_tvdi_mean,manavgat_2021__montiferru_2021,False,,,,,,,
tvdi_difference_mean,manavgat_2021__montiferru_2021,False,,,,,,,
downscaled_lst_mean,manavgat_2021__montiferru_2021,False,,,,,,,
fused_lst_mean,manavgat_2021__montiferru_2021,False,,,,,,,
