check,frame,region,thermal,baseline,increment,mean,lo,hi,n,distinct,variance
increment,full,manavgat_2021,0.7977086852888872,0.7475502988238435,0.05015838646504367,,,,,,
increment,full,bejis_2022,0.8244685786179753,0.7793700238725079,0.04509855474546742,,,,,,
increment,full,mugla_2021,0.7834240598111314,0.6979859420145867,0.08543811779654464,,,,,,
increment,full,evia_2021_extended,0.8641886346702445,0.7159564410657266,0.1482321936045179,,,,,,
increment,full,montiferru_2021,0.7199006195087421,0.6204294458658548,0.09947117364288727,,,,,,
increment,10km,manavgat_2021,0.7383670163975969,0.6977028765346063,0.04066413986299067,,,,,,
increment,10km,bejis_2022,0.7397634869019005,0.7099628365413746,0.029800650360525927,,,,,,
increment,10km,mugla_2021,0.7664659529849273,0.6758919527099421,0.09057400027498519,,,,,,
increment,10km,evia_2021_extended,0.8949241297372137,0.7613600750282994,0.1335640547089143,,,,,,
increment,10km,montiferru_2021,0.7201454180292871,0.630640392777026,0.08950502525226112,,,,,,
increment,5km,manavgat_2021,0.6520976209497527,0.6316810277746074,0.020416593175145215,,,,,,
increment,5km,bejis_2022,0.7018036673278822,0.6843323334462239,0.017471333881658335,,,,,,
increment,5km,mugla_2021,0.7326632004609865,0.6775835767923728,0.05507962366861374,,,,,,
increment,5km,evia_2021_extended,0.8818827952039631,0.8111721819142744,0.07071061328968864,,,,,,
increment,5km,montiferru_2021,0.716257244110265,0.676633930196526,0.03962331391373908,,,,,,
shortfall,,,,,,0.15530240723246946,0.09359819321999113,0.2170066212449478,5.0,,
cos_supported,full,,,,,,,,14.0,4.0,0.8205751584546467
cos_supported,collar10,,,,,,,,18.0,7.0,0.0001438177251032432
